departamento_origen,numero_salidas,BASICO,LUJO
"BOGOTÁ, D.C.",235,9.0,226.0
BOYACÁ,70,0.0,70.0
SANTANDER,48,37.0,11.0
VALLE DEL CAUCA,117,91.0,26.0
TOLIMA,74,33.0,41.0
CALDAS,48,0.0,48.0
RISARALDA,34,2.0,32.0
HUILA,76,19.0,57.0
QUINDÍO,33,23.0,10.0
NARIÑO,44,40.0,4.0
ANTIOQUIA,22,16.0,6.0
CAUCA,17,17.0,0.0
PUTUMAYO,9,0.0,9.0
LA GUAJIRA,3,0.0,3.0
MAGDALENA,11,0.0,11.0
CUNDINAMARCA,23,4.0,19.0
CAQUETÁ,23,0.0,23.0
META,20,0.0,20.0
CASANARE,13,0.0,13.0
NORTE DE SANTANDER,20,7.0,13.0
CESAR,18,0.0,18.0
ARAUCA,1,1.0,0.0
BOLÍVAR,18,2.0,16.0
ATLÁNTICO,9,3.0,6.0
CÓRDOBA,4,0.0,4.0
